job_id,job_role,industry,country,year,automation_risk_percent,ai_replacement_score,skill_gap_index,salary_before_usd,salary_after_usd,salary_change_percent,skill_demand_growth_percent,remote_feasibility_score,ai_adoption_level,education_requirement_level,automation_risk_category,skill_transition_pressure,wage_volatility_index,reskilling_urgency_score,ai_disruption_intensity,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,period,continent,company_name,company_size,location,remote_allow_percentage,employment_type,experience_level,education_level,top_skills,required_cloud_cert,open_source_contributions_required,salary_usd,equity_offered,expected_weekly_hours,hiring_urgency_score,benefit_stars,job_posted_date,automation_risk,visa_sponsorship,prosperity_score
3841,truck driver,Energy,japan,2021,80.46,69.55,38.13,85952.91,78006.45,-9.25,-9.48,17.03,19.8,2,High,59.295,9.25,46.398,15.93108,87.8,28.0,59.2,90.5,49.7,76.5,year,Asia,,,,,,,,,,,,,,,,,,,88845.61503416857
3842,teacher,Retail,germany,2020,33.48,37.45,18.25,71596.84,72270.11,0.94,-2.16,65.01,86.55,5,Medium,25.865,0.94,19.149,28.976939999999995,65.3,27.1,47.0,49.2,61.6,102.4,year,Europe,,,,,,,,,,,,,,,,,,,110673.98162327718
3843,mechanical engineer,Retail,canada,2024,67.34,61.56,13.7,48729.98,48768.68,0.08,5.21,13.83,13.68,4,High,40.52,0.08,31.070000000000004,9.212112,68.4,36.0,53.1,70.7,64.0,83.3,year,North America,,,,,,,,,,,,,,,,,,,71299.23976608187
3844,marketing specialist,Finance,uk,2023,44.01,38.86,80.37,98786.05,91358.39,-7.52,27.78,33.05,58.94,5,Medium,62.19,7.52,43.971,25.939494,61.5,30.3,46.6,47.7,67.9,98.9,year,Europe,,,,,,,,,,,,,,,,,,,148550.2276422764
3845,marketing specialist,Energy,usa,2021,60.19,57.08,50.49,130762.08,132722.43,1.5,-6.65,41.36,70.28,5,High,55.34,1.5,39.673,42.301532,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,184593.0876216968
3846,accountant,Energy,india,2021,11.32,12.09,10.29,37772.13,40962.9,8.45,18.52,90.54,51.97,1,Low,10.805,8.45,10.15,5.883004,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,162551.19047619047
3847,mechanical engineer,Manufacturing,japan,2026,47.1,51.0,32.34,34429.49,31871.42,-7.43,-2.66,40.21,94.35,5,Medium,39.72,7.43,30.771,44.43885,47.5,14.7,32.8,56.8,30.3,118.3,year,Asia,,,,,,,,,,,,,,,,,,,67097.72631578948
3848,truck driver,Finance,germany,2023,81.34,95.52,99.86,82053.48,84741.3,3.28,-9.9,89.3,46.57,3,High,90.6,3.28,63.478,37.880038,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,134723.84737678856
3849,accountant,Manufacturing,uk,2021,45.38,38.74,42.05,76439.38,82613.09,8.08,1.91,15.34,97.21,1,Medium,43.715,8.08,33.191,44.113898,71.0,31.6,52.2,56.4,74.7,82.6,year,Europe,,,,,,,,,,,,,,,,,,,116356.46478873238
3850,data analyst,Healthcare,australia,2023,5.0,5.89,54.8,114293.43,120357.79,5.31,-5.76,89.38,13.95,1,Low,29.9,5.31,20.033,0.6975,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,159837.70252324035
3851,financial analyst,Manufacturing,uk,2020,18.9,17.41,16.17,43277.5,38666.54,-10.65,11.64,70.03,86.19,1,Low,17.535,10.65,15.606,16.28991,67.3,29.8,49.4,51.3,74.1,91.7,year,Europe,,,,,,,,,,,,,,,,,,,57453.9970282318
3852,hr manager,Energy,japan,2024,55.64,47.17,57.36,77235.44,67209.12,-12.98,-6.2,93.65,74.25,5,Medium,56.5,12.98,43.358,41.31270000000001,50.7,15.1,33.8,55.4,30.9,99.5,year,Asia,,,,,,,,,,,,,,,,,,,132562.3668639053
3853,financial analyst,Energy,australia,2025,19.37,19.18,31.82,147352.6,164052.77,11.33,-11.86,53.14,21.31,2,Low,25.595,11.33,20.693,4.127747,60.9,29.8,47.1,67.9,59.2,135.4,year,Oceania,,,,,,,,,,,,,,,,,,,269380.57471264363
3854,mechanical engineer,Education,uk,2021,56.23,52.5,65.37,76041.78,83913.04,10.35,17.35,55.79,70.47,5,Medium,60.8,10.35,45.208,39.625281,71.0,31.6,52.2,56.4,74.7,82.6,year,Europe,,,,,,,,,,,,,,,,,,,118187.38028169014
3855,teacher,Technology,usa,2021,42.27,35.78,18.21,59519.18,60417.04,1.51,1.88,43.07,9.35,1,Medium,30.24,1.51,22.824,3.952245000000001,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,84029.26286509041
3856,hr manager,Retail,germany,2023,67.4,72.35,45.22,59691.04,58847.35,-1.41,-6.83,89.67,18.84,1,High,56.31,1.41,40.949000000000005,12.69816,62.9,26.1,45.3,50.9,56.2,107.6,year,Europe,,,,,,,,,,,,,,,,,,,93556.99523052464
3857,marketing specialist,Education,india,2023,49.81,59.0,63.71,82795.77,89660.59,8.29,10.53,63.15,87.18,1,Medium,56.760000000000005,8.29,41.52400000000001,43.424358000000005,22.4,5.5,14.3,23.3,15.7,64.6,year,Asia,,,,,,,,,,,,,,,,,,,400270.4910714286
3858,mechanical engineer,Healthcare,germany,2026,46.02,52.1,95.2,90149.22,104359.96,15.76,20.12,80.33,82.3,5,Medium,70.61,15.76,51.696000000000005,37.87446,68.7,24.6,49.0,64.9,66.9,138.3,year,Europe,,,,,,,,,,,,,,,,,,,151906.78311499272
3859,data analyst,Technology,uk,2025,5.0,5.47,78.38,114051.53,128863.77,12.99,2.63,94.06,22.95,5,Low,41.69,12.99,29.411,1.1475,59.2,30.0,46.3,54.8,65.3,119.9,year,Europe,,,,,,,,,,,,,,,,,,,217675.28716216216
3860,accountant,Education,usa,2020,50.54,56.7,75.24,104266.81,112056.19,7.47,14.16,78.92,43.09,3,Medium,62.89,7.47,45.029,21.777686000000003,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,157603.64275668075
3861,customer support rep,Energy,canada,2025,94.56,104.81,57.87,142102.95,157749.54,11.01,30.88,39.58,25.09,5,High,76.215,11.01,58.488,23.725104,58.7,30.3,46.1,65.3,59.9,109.1,year,North America,,,,,,,,,,,,,,,,,,,268738.56899488927
3862,customer support rep,Technology,germany,2020,60.87,62.76,24.45,140712.15,157716.31,12.08,31.11,49.21,5.81,5,High,42.66,12.08,35.307,3.536546999999999,65.3,27.1,47.0,49.2,61.6,102.4,year,Europe,,,,,,,,,,,,,,,,,,,241525.74272588053
3863,teacher,Energy,india,2021,71.77,66.51,64.25,102892.03,110780.95,7.67,30.19,26.33,28.06,5,High,68.00999999999999,7.67,50.284,20.138662,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,439606.94444444444
3864,truck driver,Finance,india,2021,61.69,68.83,43.2,54470.71,55863.3,2.56,-1.46,48.1,12.54,4,High,52.445,2.56,38.404,7.735925999999999,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,221679.76190476192
3865,software engineer,Healthcare,uk,2020,47.21,41.69,50.9,66742.56,70209.9,5.2,4.09,38.69,64.46,2,Medium,49.055,5.2,35.714,30.431566,67.3,29.8,49.4,51.3,74.1,91.7,year,Europe,,,,,,,,,,,,,,,,,,,104323.77414561663
3866,accountant,Finance,japan,2023,32.17,27.16,62.75,139923.78,169914.57,21.43,-3.06,64.8,41.51,4,Medium,47.46,21.43,38.122,13.353767,64.6,20.8,43.6,66.5,37.9,100.4,year,Asia,,,,,,,,,,,,,,,,,,,263025.6501547988
3867,accountant,Technology,india,2024,53.04,47.94,37.8,83078.26,79964.62,-3.75,13.99,67.16,21.34,1,Medium,45.42,3.75,33.681,11.318736,22.2,6.2,14.6,23.5,15.6,60.7,year,Asia,,,,,,,,,,,,,,,,,,,360200.990990991
3868,data analyst,Finance,singapore,2023,17.68,18.73,76.23,85454.06,91013.64,6.51,2.39,22.22,72.07,1,Low,46.955,6.51,31.894,12.741976,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,105953.0151338766
3869,accountant,Healthcare,usa,2020,58.31,62.75,93.54,117382.84,105658.68,-9.99,-8.52,45.2,3.08,5,Medium,75.92500000000001,9.99,54.383,1.795948,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,148605.73839662448
3870,software engineer,Energy,uk,2025,63.95,53.04,69.98,117619.32,119793.31,1.85,16.91,75.27,30.27,3,High,66.965,1.85,47.129,19.357665,59.2,30.0,46.3,54.8,65.3,119.9,year,Europe,,,,,,,,,,,,,,,,,,,202353.56418918917
3871,financial analyst,Energy,germany,2021,62.19,58.3,90.28,49605.82,49539.61,-0.13,-14.98,79.83,74.88,5,High,76.235,0.13,51.999,46.567872,70.6,29.6,51.0,54.7,65.0,93.7,year,Europe,,,,,,,,,,,,,,,,,,,70169.4192634561
3872,customer support rep,Technology,canada,2024,39.75,34.09,30.4,88050.5,67228.95,-23.65,18.02,69.68,42.76,2,Medium,35.075,23.65,32.115,16.9971,68.4,36.0,53.1,70.7,64.0,83.3,year,North America,,,,,,,,,,,,,,,,,,,98287.9385964912
3873,teacher,Transportation,australia,2021,76.24,68.95,62.74,103365.35,96643.51,-6.5,-11.08,42.89,17.25,5,High,69.49,6.5,51.268,13.1514,84.1,38.4,62.3,81.1,76.3,99.3,year,Oceania,,,,,,,,,,,,,,,,,,,114914.99405469678
3874,software engineer,Healthcare,japan,2025,33.41,31.9,17.83,83985.61,75247.03,-10.4,2.79,21.81,64.75,3,Medium,25.62,10.4,21.833,21.632975,45.6,14.1,31.6,54.5,29.4,119.8,year,Asia,,,,,,,,,,,,,,,,,,,165015.41666666666
3875,financial analyst,Finance,uk,2026,59.46,69.95,8.7,44143.38,44350.35,0.47,-1.52,66.05,40.35,3,Medium,34.08,0.47,26.535,23.992110000000004,67.8,32.1,51.9,62.8,72.9,122.6,year,Europe,,,,,,,,,,,,,,,,,,,65413.49557522123
3876,accountant,Finance,india,2022,65.85,70.77,98.58,46547.4,46158.12,-0.84,3.36,11.71,93.26,1,High,82.215,0.84,56.166,61.41170999999999,24.4,5.3,15.5,26.4,17.6,49.7,year,Asia,,,,,,,,,,,,,,,,,,,189172.6229508197
3877,financial analyst,Transportation,brazil,2021,31.28,31.93,31.81,59497.03,56792.5,-4.55,-3.8,65.39,97.16,3,Medium,31.545,4.55,23.42,30.391648,31.8,8.1,20.5,25.4,22.5,28.7,year,South America,,,,,,,,,,,,,,,,,,,178592.7672955975
3878,software engineer,Education,uk,2021,39.07,39.58,3.53,130811.88,114292.3,-12.63,6.47,50.65,99.5,5,Medium,21.3,12.63,20.476000000000003,38.87465,71.0,31.6,52.2,56.4,74.7,82.6,year,Europe,,,,,,,,,,,,,,,,,,,160975.0704225352
3879,hr manager,Transportation,uk,2020,31.36,28.46,11.8,101657.08,103276.19,1.59,2.54,92.73,93.19,5,Medium,21.58,1.59,16.561,29.224384,67.3,29.8,49.4,51.3,74.1,91.7,year,Europe,,,,,,,,,,,,,,,,,,,153456.4487369985
3880,customer support rep,Education,australia,2025,32.55,33.31,9.71,98641.94,100227.07,1.61,18.39,88.48,80.17,4,Medium,21.13,1.61,16.416,26.095335,60.9,29.8,47.1,67.9,59.2,135.4,year,Oceania,,,,,,,,,,,,,,,,,,,164576.4696223317
3881,data analyst,Technology,germany,2025,19.36,20.37,0.74,77525.03,90850.97,17.19,-5.56,75.88,77.32,5,Low,10.05,17.19,13.123,14.969152,58.4,22.4,42.4,56.7,57.5,127.1,year,Europe,,,,,,,,,,,,,,,,,,,155566.7294520548
3882,marketing specialist,Education,uk,2026,61.5,56.32,68.61,95881.14,97735.28,1.93,3.91,36.11,43.8,5,High,65.055,1.93,45.762,26.937,67.8,32.1,51.9,62.8,72.9,122.6,year,Europe,,,,,,,,,,,,,,,,,,,144152.33038348082
3883,truck driver,Technology,india,2021,38.07,32.56,20.87,96437.68,94132.7,-2.39,10.76,39.11,56.41,4,Medium,29.47,2.39,22.206,21.475287,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,373542.46031746035
3884,data analyst,Healthcare,canada,2021,24.97,29.07,37.78,88853.07,102123.91,14.94,6.77,60.75,23.92,4,Low,31.375,14.94,25.804,5.972824,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,145683.1811697575
3885,mechanical engineer,Education,brazil,2022,18.68,21.95,80.16,32755.83,33884.19,3.44,17.23,56.7,1.22,4,Low,49.42,3.44,32.552,0.227896,33.2,8.3,21.5,28.2,25.2,27.8,year,South America,,,,,,,,,,,,,,,,,,,102060.81325301205
3886,hr manager,Healthcare,germany,2026,64.66,56.85,72.8,31904.19,29404.53,-7.83,-3.93,24.18,48.11,1,High,68.72999999999999,7.83,50.053,31.107926,68.7,24.6,49.0,64.9,66.9,138.3,year,Europe,,,,,,,,,,,,,,,,,,,42801.35371179039
3887,hr manager,Finance,uk,2020,29.86,35.75,58.0,97977.34,93533.18,-4.54,-8.87,21.16,76.25,2,Low,43.93,4.54,30.706,22.76825,67.3,29.8,49.4,51.3,74.1,91.7,year,Europe,,,,,,,,,,,,,,,,,,,138979.46508172364
3888,truck driver,Technology,singapore,2020,48.18,53.04,37.17,148650.87,156745.11,5.45,6.14,68.23,8.57,3,Medium,42.675,5.45,32.058,4.129026,81.1,63.3,72.6,66.8,59.0,89.0,year,Asia,,,,,,,,,,,,,,,,,,,193273.87176325524
3889,marketing specialist,Healthcare,japan,2021,47.83,55.67,0.65,50029.47,50516.18,0.97,-3.73,71.65,70.26,5,Medium,24.24,0.97,19.618,33.605358,87.8,28.0,59.2,90.5,49.7,76.5,year,Asia,,,,,,,,,,,,,,,,,,,57535.5125284738
3890,truck driver,Retail,usa,2021,80.54,94.0,36.16,35155.61,40127.39,14.14,-6.34,29.21,81.0,5,High,58.35,14.14,47.306,65.23740000000001,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,55809.99999999999
3891,marketing specialist,Technology,japan,2025,25.38,20.41,50.81,117175.39,131943.92,12.6,-2.61,49.46,17.17,1,Low,38.095,12.6,29.175000000000004,4.357746000000001,45.6,14.1,31.6,54.5,29.4,119.8,year,Asia,,,,,,,,,,,,,,,,,,,289350.701754386
3892,teacher,Transportation,usa,2023,16.34,17.72,38.57,139532.85,110489.97,-20.81,10.53,41.41,13.14,2,Low,27.455,20.81,24.35,2.147076,72.4,47.1,60.3,71.4,70.8,115.7,year,North America,,,,,,,,,,,,,,,,,,,152610.45580110498
3893,accountant,Healthcare,canada,2024,51.57,53.26,80.0,54143.64,51153.42,-5.52,2.13,36.58,42.81,1,Medium,65.785,5.52,46.284,22.077117,68.4,36.0,53.1,70.7,64.0,83.3,year,North America,,,,,,,,,,,,,,,,,,,74785.70175438595
3894,mechanical engineer,Education,canada,2026,77.48,82.23,78.29,69061.19,66049.56,-4.36,-1.37,33.08,58.31,2,High,77.885,4.36,55.787000000000006,45.178588,63.0,31.5,48.9,69.6,64.1,119.4,year,North America,,,,,,,,,,,,,,,,,,,104840.57142857143
3895,software engineer,Manufacturing,canada,2020,23.9,27.32,98.85,71195.81,78239.11,9.89,17.88,27.5,91.8,2,Low,61.375,9.89,42.182,21.9402,67.6,30.7,50.0,63.7,63.5,95.1,year,North America,,,,,,,,,,,,,,,,,,,115738.32840236687
3896,software engineer,Finance,usa,2024,13.96,15.28,34.76,74049.79,82216.82,11.03,3.65,22.62,5.46,3,Low,24.36,11.03,19.321,0.7622160000000001,72.9,44.7,59.5,74.2,68.4,120.9,year,North America,,,,,,,,,,,,,,,,,,,112780.27434842249
3897,teacher,Energy,japan,2022,38.14,31.36,68.76,121239.01,126555.41,4.39,11.38,92.47,74.83,4,Medium,53.45,4.39,37.201,28.540162,77.0,25.9,53.0,81.3,45.4,87.1,year,Asia,,,,,,,,,,,,,,,,,,,164357.67532467534
3898,hr manager,Finance,australia,2023,75.53,66.25,49.99,149271.67,160517.41,7.53,8.61,12.74,87.18,5,High,62.760000000000005,7.53,47.468,65.84705400000001,75.3,39.0,57.9,73.3,66.2,110.9,year,Oceania,,,,,,,,,,,,,,,,,,,213170.53120849936
3899,mechanical engineer,Education,canada,2023,58.84,51.09,2.57,61191.19,62704.12,2.47,11.11,92.75,44.62,2,Medium,30.705,2.47,25.048,26.254408,66.1,33.4,50.4,64.2,62.8,102.1,year,North America,,,,,,,,,,,,,,,,,,,94862.5113464448
3900,customer support rep,Retail,japan,2026,90.56,89.22,20.43,48167.22,51067.14,6.02,1.68,58.06,63.24,1,High,55.495000000000005,6.02,44.159,57.270144,47.5,14.7,32.8,56.8,30.3,118.3,year,Asia,,,,,,,,,,,,,,,,,,,107509.76842105262
3901,accountant,Retail,japan,2023,74.57,74.95,83.83,68859.99,75024.58,8.95,17.54,27.25,38.88,1,High,79.19999999999999,8.95,57.662,28.992816,64.6,20.8,43.6,66.5,37.9,100.4,year,Asia,,,,,,,,,,,,,,,,,,,116137.12074303407
3902,data analyst,Technology,brazil,2020,21.9,18.35,58.48,149240.38,174121.91,16.67,26.95,13.63,13.92,1,Low,40.19,16.67,31.305,3.04848,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,433139.07960199006
3903,financial analyst,Finance,usa,2021,45.93,54.84,87.66,70825.09,86325.74,21.89,22.86,71.68,68.78,1,Medium,66.795,21.89,51.237,31.590654,71.9,41.1,57.2,70.2,69.4,102.6,year,North America,,,,,,,,,,,,,,,,,,,120063.61613351878
3904,teacher,Manufacturing,india,2023,65.29,52.88,94.37,38407.45,41604.14,8.32,4.53,53.89,6.36,4,High,79.83000000000001,8.32,56.92300000000001,4.152444,22.4,5.5,14.3,23.3,15.7,64.6,year,Asia,,,,,,,,,,,,,,,,,,,185732.76785714287
3905,hr manager,Finance,japan,2021,26.05,26.87,8.79,80841.35,89037.38,10.14,-0.5,19.91,68.28,4,Low,17.42,10.14,16.099000000000004,17.78694,87.8,28.0,59.2,90.5,49.7,76.5,year,Asia,,,,,,,,,,,,,,,,,,,101409.3166287016
3906,financial analyst,Technology,brazil,2020,38.46,39.81,20.55,103164.44,97909.94,-5.09,7.06,84.19,86.13,5,Medium,29.505000000000003,5.09,23.076,33.125598,40.2,10.6,26.1,29.2,30.8,32.8,year,South America,,,,,,,,,,,,,,,,,,,243557.0646766169
3907,data analyst,Education,japan,2020,5.0,5.21,59.4,31495.01,32110.3,1.95,4.34,59.99,93.32,2,Low,32.2,1.95,20.405,4.666,83.3,26.0,55.9,81.8,48.9,87.3,year,Asia,,,,,,,,,,,,,,,,,,,38547.77911164466
3908,marketing specialist,Technology,india,2022,57.3,46.49,7.77,116661.47,104383.53,-10.52,6.54,65.27,81.03,1,Medium,32.535,10.52,28.407,46.43019,24.4,5.3,15.5,26.4,17.6,49.7,year,Asia,,,,,,,,,,,,,,,,,,,427801.3524590164
3909,truck driver,Finance,germany,2024,77.71,69.82,25.82,146140.54,141243.12,-3.35,12.15,84.16,16.17,1,High,51.765,3.35,39.835,12.565707,62.7,26.3,45.4,57.6,52.5,101.0,year,Europe,,,,,,,,,,,,,,,,,,,225268.13397129186
3910,teacher,Energy,india,2021,23.78,20.75,8.77,132561.37,111798.75,-15.66,10.12,86.38,80.26,1,Low,16.275,15.66,16.841,19.085828000000003,25.2,5.8,15.9,26.3,17.7,47.1,year,Asia,,,,,,,,,,,,,,,,,,,443645.8333333333
3911,truck driver,Manufacturing,australia,2020,32.07,33.92,72.18,115899.28,106763.66,-7.88,10.32,38.36,84.42,1,Medium,52.125,7.88,36.846,27.073494,73.5,34.9,55.0,67.2,70.3,107.3,year,Oceania,,,,,,,,,,,,,,,,,,,145256.68027210885
3912,hr manager,Education,brazil,2022,72.89,66.45,2.3,133172.03,113058.66,-15.1,-5.89,41.23,41.57,4,High,37.595,15.1,34.376000000000005,30.300373,33.2,8.3,21.5,28.2,25.2,27.8,year,South America,,,,,,,,,,,,,,,,,,,340538.13253012043
3913,hr manager,Manufacturing,singapore,2021,36.48,37.45,7.89,146584.82,151614.3,3.43,13.12,29.9,4.95,1,Medium,22.185,3.43,17.988,1.80576,85.6,64.8,75.6,75.3,62.1,83.6,year,Asia,,,,,,,,,,,,,,,,,,,177119.5093457944
3914,customer support rep,Technology,usa,2024,31.95,29.7,50.39,149190.37,164161.69,10.04,-21.29,72.56,18.07,4,Medium,41.17,10.04,30.909,5.773365,72.9,44.7,59.5,74.2,68.4,120.9,year,North America,,,,,,,,,,,,,,,,,,,225187.50342935527
3915,accountant,Education,brazil,2026,75.3,76.17,27.63,142213.08,137914.14,-3.02,28.25,62.21,74.83,5,High,51.465,3.02,39.315,56.34699,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,458186.51162790705
3916,mechanical engineer,Energy,singapore,2025,20.82,23.86,95.95,98039.96,106146.24,8.27,9.19,43.73,99.28,4,Low,58.385000000000005,8.27,39.594,20.670096,79.1,67.0,73.7,70.8,53.5,93.8,year,Asia,,,,,,,,,,,,,,,,,,,134192.46523388117
3917,marketing specialist,Retail,japan,2020,57.64,55.88,67.73,92601.6,94334.62,1.87,2.54,60.79,79.58,2,Medium,62.685,1.87,43.936,45.86991200000001,83.3,26.0,55.9,81.8,48.9,87.3,year,Asia,,,,,,,,,,,,,,,,,,,113246.84273709483
3918,data analyst,Technology,australia,2021,10.84,11.01,76.66,148596.55,158407.16,6.6,0.07,25.24,19.81,2,Low,43.75,6.6,29.314,2.147404,84.1,38.4,62.3,81.1,76.3,99.3,year,Oceania,,,,,,,,,,,,,,,,,,,188355.71938168848
3919,marketing specialist,Transportation,uk,2026,17.71,20.24,10.83,46573.38,48618.11,4.39,-10.35,89.22,41.82,4,Low,14.27,4.39,11.65,7.406322,67.8,32.1,51.9,62.8,72.9,122.6,year,Europe,,,,,,,,,,,,,,,,,,,71708.12684365781
3920,hr manager,Transportation,singapore,2023,48.24,41.8,26.59,46071.09,53696.56,16.55,-11.5,35.56,84.6,2,Medium,37.415,16.55,32.238,40.81104,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,62510.54714784633
3921,data analyst,Education,india,2024,68.69,58.25,1.79,124773.23,118189.39,-5.28,-6.12,45.48,91.66,2,High,35.24,5.28,29.597,62.961254,22.2,6.2,14.6,23.5,15.6,60.7,year,Asia,,,,,,,,,,,,,,,,,,,532384.6396396396
3922,accountant,Energy,usa,2020,56.12,45.81,1.48,53948.17,53029.5,-1.7,-15.01,85.41,31.48,1,Medium,28.8,1.7,23.402,17.666576,71.1,40.3,56.4,66.6,70.7,109.5,year,North America,,,,,,,,,,,,,,,,,,,74584.38818565402
3923,hr manager,Transportation,singapore,2023,36.36,33.88,0.9,144624.18,138451.75,-4.27,-2.26,21.64,49.05,1,Medium,18.63,4.27,16.095,17.83458,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,161177.82305005818
3924,hr manager,Education,usa,2026,75.25,63.23,44.09,32684.98,34806.04,6.49,17.45,72.97,47.23,1,High,59.67,6.49,45.274,35.540575,68.8,40.7,56.3,74.0,72.8,146.0,year,North America,,,,,,,,,,,,,,,,,,,50590.174418604656
3925,data analyst,Technology,japan,2024,63.53,61.24,51.41,113434.71,97854.15,-13.74,5.91,38.54,9.23,4,High,57.47,13.74,44.957,5.863819000000001,50.7,15.1,33.8,55.4,30.9,99.5,year,Asia,,,,,,,,,,,,,,,,,,,193006.21301775146
3926,truck driver,Finance,canada,2020,55.28,57.7,11.85,105670.45,102419.42,-3.08,12.45,29.98,89.3,1,Medium,33.565,3.08,26.591,49.36504,67.6,30.7,50.0,63.7,63.5,95.1,year,North America,,,,,,,,,,,,,,,,,,,151508.0177514793
3927,hr manager,Manufacturing,brazil,2026,58.44,49.21,40.81,110890.75,132089.34,19.12,16.99,61.04,79.81,5,Medium,49.625,19.12,41.355,46.640964,30.1,8.5,20.5,30.0,26.0,46.1,year,South America,,,,,,,,,,,,,,,,,,,438835.0166112957
3928,data analyst,Retail,usa,2022,22.43,24.3,99.11,76795.06,71664.82,-6.68,12.66,35.37,93.49,2,Low,60.77,6.68,40.709,20.969807,70.1,42.1,57.0,70.4,70.1,106.3,year,North America,,,,,,,,,,,,,,,,,,,102232.26818830243
3929,data analyst,Education,uk,2020,5.0,4.43,48.29,78221.71,69038.06,-11.74,9.94,16.35,36.93,3,Low,26.645,11.74,20.009,1.8465,67.3,29.8,49.4,51.3,74.1,91.7,year,Europe,,,,,,,,,,,,,,,,,,,102582.55572065379
3930,marketing specialist,Technology,canada,2025,46.7,47.86,60.15,95839.44,103527.6,8.02,-2.71,17.9,19.84,5,Medium,53.425,8.02,39.131,9.26528,58.7,30.3,46.1,65.3,59.9,109.1,year,North America,,,,,,,,,,,,,,,,,,,176367.29131175467
3931,truck driver,Transportation,brazil,2023,76.76,69.99,49.35,69263.73,54225.71,-21.71,5.99,99.48,35.75,2,High,63.05500000000001,21.71,52.022,27.4417,34.7,8.3,22.1,29.3,26.4,28.7,year,South America,,,,,,,,,,,,,,,,,,,156270.0576368876
3932,data analyst,Manufacturing,japan,2024,43.89,50.71,63.79,97902.87,96497.59,-1.44,33.08,82.68,5.04,4,Medium,53.84,1.44,37.125,2.212056,50.7,15.1,33.8,55.4,30.9,99.5,year,Asia,,,,,,,,,,,,,,,,,,,190330.55226824456
3933,data analyst,Transportation,singapore,2024,61.96,64.1,84.89,31247.12,29337.73,-6.11,21.19,71.3,62.82,5,High,73.425,6.11,52.084,38.923272,81.9,71.9,77.1,75.0,55.3,103.0,year,Asia,,,,,,,,,,,,,,,,,,,35821.404151404146
3934,hr manager,Finance,singapore,2023,21.44,21.56,27.72,97252.42,93982.93,-3.36,6.91,56.42,61.76,1,Low,24.58,3.36,17.9,13.241344000000002,85.9,85.3,85.6,74.0,58.4,95.6,year,Asia,,,,,,,,,,,,,,,,,,,109409.69732246797
3935,accountant,Manufacturing,japan,2022,30.68,36.23,52.03,51902.05,52436.03,1.03,-4.69,43.77,19.25,1,Medium,41.355,1.03,28.19,5.9059,77.0,25.9,53.0,81.3,45.4,87.1,year,Asia,,,,,,,,,,,,,,,,,,,68098.74025974025
3936,truck driver,Energy,canada,2021,27.15,27.87,59.86,47016.31,49549.87,5.39,6.21,98.05,88.85,2,Low,43.505,5.39,30.435,24.122775,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,70684.55064194009
3937,accountant,Education,singapore,2021,66.5,58.77,15.64,83393.71,92035.34,10.36,8.54,30.88,47.96,2,High,41.07,10.36,34.4,31.8934,85.6,64.8,75.6,75.3,62.1,83.6,year,Asia,,,,,,,,,,,,,,,,,,,107517.92056074766
3938,financial analyst,Retail,india,2024,55.32,54.12,45.42,57014.06,56920.92,-0.16,8.2,57.95,21.86,4,Medium,50.370000000000005,0.16,35.802,12.092952,22.2,6.2,14.6,23.5,15.6,60.7,year,Asia,,,,,,,,,,,,,,,,,,,256400.54054054053
3939,software engineer,Finance,canada,2021,35.99,32.47,20.23,63086.67,68353.25,8.35,2.64,13.66,4.32,4,Medium,28.11,8.35,22.97,1.554768,70.1,32.5,52.1,68.5,64.0,82.8,year,North America,,,,,,,,,,,,,,,,,,,97508.20256776035
